source	target	pvalue	threshold
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	6.043517081775761e-233	2.616818837060968e-08
BALDER [ASGARDIAN]	VOLSTAGG	6.223158358304876e-233	2.6643973613711675e-08
MR. FANTASTIC/REED RICHARDS 	RICHARDS, FRANKLIN BENJAMIN	3.81549335311431e-232	2.7119758856813673e-08
COLOSSUS II/PETER RASPUTIN 	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.5032691542831321e-228	2.759554409991566e-08
LEEDS, BETTY BRANT	SPIDER-MAN/PETER PARKER	1.8327802458312815e-226	2.8071329343017655e-08
CLEA	DR. STRANGE/STEPHEN STRANGE	4.13449423802103e-226	2.854711458611965e-08
CANNONBALL II/SAM GUTHRIE 	MIRAGE II/DANIELLE MOONSTAR 	2.6462034918195592e-225	2.9022899829221643e-08
BALDER [ASGARDIAN]	HOGUN [ASGARDIAN]	2.895068153038389e-225	2.9498685072323637e-08
BALDER [ASGARDIAN]	FANDRAL [ASGARDIAN]	2.895068153038389e-225	2.997447031542563e-08
CYCLOPS/SCOTT SUMMERS 	STORM/ORORO MUNROE Subscribe!	1.229840828897009e-224	3.0450255558527626e-08
BANNER, BETTY ROSS TALBOT	ROSS, GEN. THADDEUS E. THUNDERBOLT	8.767988720884577e-222	3.092604080162962e-08
COUNTERWEIGHT/JACK POWER	LIGHTSPEED/JULIE POWER	1.7524307002668786e-219	3.1401826044731614e-08
CLOAK/TYRONE JOHNSON	DAGGER/TANDY BOWEN	4.57322197397745e-218	3.187761128783361e-08
GORGON [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	6.057306507056486e-216	3.235339653093561e-08
NIGHTCRAWLER/KURT WAGNER 	WOLVERINE/LOGAN 	1.8287123221353336e-215	3.2829181774037604e-08
COLOSSUS II/PETER RASPUTIN 	SHADOWCAT/KATHERINE KITTY PRYDE 	2.331347291709008e-215	3.33049670171396e-08
FIRESTAR/ANGELICA JONES 	JUSTICE II/VANCE ASTROVIK 	2.4587190954239e-215	3.3780752260241586e-08
KARNAK [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	3.050211831607974e-215	3.425653750334358e-08
HAWK	WASP/JANET VAN DYNE PYM	3.990033589712698e-215	3.4732322746445574e-08
SPIDER-MAN/PETER PARKER	THOMPSON, EUGENE FLASH	1.8222014980225232e-214	3.520810798954757e-08
ROGUE /	WOLVERINE/LOGAN 	2.3685239948793983e-214	3.568389323264956e-08
HUDSON, HEATHER	PUCK/EUGENE MILTON JUDD	4.944874440562707e-214	3.615967847575156e-08
SCARLET WITCH/WANDA MAXIMOFF	WASP/JANET VAN DYNE PYM	3.1948307852033725e-213	3.663546371885355e-08
ANT-MAN/DR. HENRY J. PYM	HAWK	6.771816889913127e-212	3.7111248961955545e-08
COUNTERWEIGHT II/KATIE POWER	COUNTERWEIGHT/JACK POWER	2.3047530374613375e-210	3.758703420505754e-08
COUNTERWEIGHT II/KATIE POWER	LIGHTSPEED/JULIE POWER	2.3047530374613375e-210	3.8062819448159534e-08
AURORA/JEANNE-MARIE BAUBIER	NORTHSTAR/JEAN-PAUL BAUBIER	2.8489657544265435e-209	3.853860469126153e-08
CAPTAIN AMERICA	SCARLET WITCH/WANDA MAXIMOFF	5.943158800976321e-209	3.901438993436352e-08
VISION 	WONDER MAN/SIMON WILLIAMS 	4.883164324684259e-208	3.9490175177465523e-08
SHANG-CHI	TARR, BLACK JACK	1.468821680224477e-207	3.996596042056751e-08
HOGAN, HAROLD J. HAPPY	HOGAN, VIRGINIA PEPPER POTTS	1.4684871245017388e-206	4.0441745663669505e-08
ODIN [ASGARDIAN]	SIF	6.34276471196103e-205	4.09175309067715e-08
BALDER [ASGARDIAN]	ODIN [ASGARDIAN]	8.184405863910534e-205	4.1393316149873494e-08
