source	target	pvalue	threshold
LUNA/LUNA MAXIMOFF [INHUMAN]	RAM, SIR	8.438225422371945e-14	3.799145166169424e-06
GATOR, LORD	LUNA/LUNA MAXIMOFF [INHUMAN]	8.438225422371945e-14	3.7996209514125257e-06
SENTINELS	TRASK, DR. BOLIVAR	8.441081461787867e-14	3.800096736655628e-06
MAKKARI/MIKE KHARY/INVISIBLE MAN/ADAM CLAYTON/JAKE CURTISS/MICHAEL	MOONDRAGON/HEATHER DOUGLAS	8.471434280253814e-14	3.8005725218987293e-06
LELAND, HARRY	NIGHTCRAWLER/KURT WAGNER 	8.518678256550752e-14	3.8010483071418316e-06
DR. OCTOPUS/OTTO OCTAVIUS	MYSTERIO/QUENTIN BECK/NICHOLAS MACABE	8.565952455967468e-14	3.801524092384934e-06
CAPTAIN AMERICA	USAGENT/CAPTAIN JOHN WALKER/JACK DANIELS	8.625911416344394e-14	3.801999877628035e-06
STINGRAY/DR. WALTER NEWELL	TYRAK	8.711368242899554e-14	3.8024756628711374e-06
JAMESON, COL. JOHN 	TRAVELLER, DR. JUDAS	8.750907295815239e-14	3.8029514481142397e-06
CHARCOAL/CHARLIE BURLINGAME/CHARLES COLE	CYCLONE II/PIERRE FRESSON	8.838555920156898e-14	3.8034272333573415e-06
CHIMERA II	PENANCE/MONET ST. CROIX	8.855336086839199e-14	3.8039030186004437e-06
IRON MAN DOPPELGANGER	MULTIPLE MAN/JAMES ARTHUR JAMIE MADROX	8.855336086839199e-14	3.804378803843546e-06
RASPUTIN, MIKHAIL	STORM/ORORO MUNROE Subscribe!	8.866837575645886e-14	3.8048545890866473e-06
BANNON, LANCE	GRANT, GLORIA GLORY	8.897772711582841e-14	3.8053303743297496e-06
EBONY	SCARLET WITCH/WANDA MAXIMOFF	8.982748537798136e-14	3.805806159572851e-06
NIGHTCRAWLER/KURT WAGNER 	TESSA	9.015667526309261e-14	3.8062819448159532e-06
BEETLE/ABNER RONALD JENKINS	STERMAN, ANDREA ANDIE	9.119588228723249e-14	3.8067577300590555e-06
SELENE	WARLOCK III	9.141418710176048e-14	3.8072335153021573e-06
DR. SPECTRUM/JOSEPH LEDGER	OVERMIND/GROM	9.171800192377739e-14	3.8077093005452595e-06
MENTOR/ALARS [ETERNAL]	STELLARAX	9.221331428729167e-14	3.8081850857883617e-06
N'ASTIRH	S'YM	9.277685101312932e-14	3.808660871031463e-06
HUNTER, STEVIE	MAGMA/AMARA AQUILLA/ALLISON CRESTMERE	9.280927696659798e-14	3.8091366562745654e-06
SPIDER-MAN/PETER PARKER	VERMIN/EDWARD WHELAN	9.33201140913326e-14	3.8096124415176676e-06
SHOCKER/HERMAN SCHULTZ	SPIDER-MAN/PETER PARKER	9.33201140913326e-14	3.8100882267607694e-06
FLEX/ADRIAN CORBO	GUARDIAN/JAMES MACDONALD HUDSON	9.358443390701429e-14	3.8105640120038717e-06
GUARDIAN/JAMES MACDONALD HUDSON	WITCHFIRE	9.358443390701429e-14	3.811039797246974e-06
GUARDIAN/JAMES MACDONALD HUDSON	MURMUR II/ARLETTE TRUFFAUT	9.358443390701429e-14	3.8115155824900753e-06
BANNON, LANCE	LEEDS, NED	9.411147721202074e-14	3.8119913677331775e-06
HIGH EVOLUTIONARY/HERBERT EDGAR WYNDHAM	SCANNER II	9.486497257771854e-14	3.812467152976279e-06
HUNTER, STEVIE	WOLVERINE/LOGAN 	9.560022203207732e-14	3.812942938219381e-06
ANGEL/WARREN KENNETH WORTHINGTON III 	MYSTIQUE/RAVEN DARKHOLME/MALLORY BRICKMAN/B. BYRON BIGGS/RONNIE	9.561764133874733e-14	3.8134187234624834e-06
DR. DRUID/ANTHONY LUDGATE/ANTHONY DRUID	HERCULES [GREEK GOD]	9.593626134245228e-14	3.8138945087055852e-06
NIGHTCRAWLER/KURT WAGNER 	SZARDOS, MARGALI	9.603422199237503e-14	3.8143702939486875e-06
HILDEGARDE [ASGARDIAN]	MANGOG	9.64839961574342e-14	3.81484607919179e-06
BANSHEE/SEAN CASSIDY	ICEMAN/ROBERT BOBBY DRAKE	9.661011496919305e-14	3.8153218644348915e-06
JACK FROST/	MISS AMERICA/MADELINE JOYCE FRANK	9.711764103613509e-14	3.815797649677993e-06
MARVEL GIRL/JEAN GREY SUMMERS	MASTER MOLD II	9.733872008880399e-14	3.816273434921096e-06
LIBRA/GUSTAV BRANDT	VISION 	9.74221001148868e-14	3.816749220164197e-06
GRANT, GLORIA GLORY	OSBORN, LIZ ALLAN	9.824122654070955e-14	3.8172250054073e-06
JAMESON, COL. JOHN 	SPIDER-MAN CLONE/BEN REILLY	9.867983503581888e-14	3.8177007906504014e-06
BLACK KNIGHT V/DANE WHITMAN	MOCKINGBIRD/DR. BARBARA BOBBI MORSE/HUNTRESS	9.972031450071514e-14	3.818176575893503e-06
POLARIS/LORNA DANE	STRYFE	1.0032025501927486e-13	3.818652361136606e-06
COLOSSUS II/PETER RASPUTIN 	LELAND, HARRY	1.0113230610712936e-13	3.819128146379707e-06
CALIBAN/	TILBY, TRISH/PATRICIA TILBERT	1.0162516145971143e-13	3.8196039316228096e-06
BLACK KING/SEBASTIAN SHAW	MAGMA/AMARA AQUILLA/ALLISON CRESTMERE	1.0162516145971143e-13	3.820079716865911e-06
FIREFALL III/ARCHIE STRYKER	ROM, SPACEKNIGHT	1.0248880661038355e-13	3.820555502109013e-06
O'CONNOR, A.C. ACE	ROM, SPACEKNIGHT	1.0248880661038355e-13	3.821031287352115e-06
KILLBURN, MACK	ROM, SPACEKNIGHT	1.0248880661038355e-13	3.821507072595218e-06
ROM, SPACEKNIGHT	TRAPPER/VOLA	1.0248880661038355e-13	3.8219828578383195e-06
ARRANGER/	ROBERTSON, MARTHA	1.0384154465244978e-13	3.822458643081421e-06
MARVEL GIRL II/VALERIA VON DOOM	MR. FANTASTIC/REED RICHARDS 	1.041652979150305e-13	3.822934428324524e-06
ORIKAL	ULIK	1.043844160863327e-13	3.823410213567625e-06
KRO [DEVIANT]	PHASTOS [ETERNAL]	1.0442790995572978e-13	3.823885998810728e-06
MASTERSON, KEVIN	MONGOOSE	1.0442790995572978e-13	3.8243617840538286e-06
DAMIAN, DR. DANIEL	KRO [DEVIANT]	1.0442790995572978e-13	3.824837569296931e-06
FRIEDLANDER, SHARON	MAGNETO/MAGNUS/ERIC LENSHERR	1.0570915625763244e-13	3.825313354540033e-06
CR'REEE	WOLVERINE/LOGAN 	1.0623747472656684e-13	3.825789139783135e-06
DEADPOOL/JACK/WADE WILSON 	TOLLIVER	1.0697564073430222e-13	3.8262649250262375e-06
DARKHAWK/CHRIS POWELL	IRON MAN DOPPELGANGER	1.0697564073430222e-13	3.826740710269339e-06
JUGGERNAUT/CAIN MARKO	PROSH	1.0697564073430222e-13	3.827216495512441e-06
MONGOOSE	QUICKSAND	1.07203347388003e-13	3.827692280755543e-06
HAWK	OLD SKULL	1.0729733055914208e-13	3.828168065998646e-06
BANSHEE/SEAN CASSIDY	PSYLOCKE/ELISABETH BETSY BRADDOCK 	1.0733687721178277e-13	3.8286438512417474e-06
CHENEY, LILA	MAGIK/ILLYANA RASPUTINA	1.0754499733155056e-13	3.829119636484849e-06
KATZENBERG, NICK	ROSE II/SGT. BLUME	1.075822000018403e-13	3.829595421727951e-06
BOX/ROGER BOCHS	PESTILENCE/CAPT. F.R. CROZIER	1.075822000018403e-13	3.830071206971053e-06
GAIA	LEECH	1.0758318147145927e-13	3.8305469922141556e-06
AJAX	CASSIOPEIA	1.0768920048205352e-13	3.8310227774572565e-06
MISFIT/	TICKTOCK	1.0800625611190448e-13	3.831498562700359e-06
MISFIT/	NEEDLE	1.0800625611190448e-13	3.831974347943461e-06
COHEN, IZZY	RALSTON, SENATOR ROBERT REB	1.0800625611190448e-13	3.832450133186563e-06
BAZIN, ALLEGRA	BAZIN, BRODERICK RICK	1.0800625611190448e-13	3.8329259184296655e-06
AMIKO	KAISHEK, KIA	1.0800625611190448e-13	3.833401703672767e-06
ROBERTSON, PROF. BOB	SPRAGG	1.0800625611190448e-13	3.833877488915869e-06
APE/	BEAUTIFUL DREAMER	1.0800625611190448e-13	3.834353274158971e-06
EL CONQUISTADOR	MCCOY, NORTON	1.0800625611190448e-13	3.834829059402074e-06
KALA	LANDSLIDE	1.0800625611190448e-13	3.835304844645175e-06
DWYER, MARISSA	MALPHER, KATHY	1.0800625611190448e-13	3.835780629888277e-06
HIBBERT, ELLEN	HIBBERT, HOPE	1.0800625611190448e-13	3.836256415131379e-06
BIOHAZARD	COLLINS, TRACY	1.0800625611190448e-13	3.836732200374481e-06
HUNTER, IAN	MALPHER, KATHY	1.0800625611190448e-13	3.8372079856175835e-06
ADVERSARY	LONGSHOT	1.0859580174120252e-13	3.8376837708606845e-06
ELLIS, KEN	WATSON-PARKER, MARY JANE	1.0875132437993388e-13	3.838159556103787e-06
TRAINER, DR. SEWARD	WATSON-PARKER, MARY JANE	1.0875132437993388e-13	3.838635341346889e-06
MOONHUNTER/ZACK MOONHUNTER	NIGHTSHADE/TILDA	1.0940826436136934e-13	3.839111126589991e-06
MOONSTONE II/KARLA SOFEN 	WARTON/WARBECK	1.0963918846692196e-13	3.8395869118330934e-06
LOCKHEED	WOLFSBANE/RAHNE SINCLAIR	1.1155716865335358e-13	3.840062697076195e-06
MARTIN, ASHLEY	MARVEL GIRL/JEAN GREY SUMMERS	1.1267719104483358e-13	3.840538482319297e-06
MARVEL GIRL/JEAN GREY SUMMERS	TUSK	1.1267719104483358e-13	3.841014267562399e-06
BEAST/HENRY &HANK& P. MCCOY 	MAGGOTT/JAPHETH	1.12818870921003e-13	3.841490052805501e-06
BEAST/HENRY &HANK& P. MCCOY 	UNUS THE UNTOUCHABLE	1.12818870921003e-13	3.841965838048603e-06
ANGEL/WARREN KENNETH WORTHINGTON III 	NORRISS, SISTER BARBARA DENTON	1.1361160772777303e-13	3.842441623291705e-06
BLACK KING/SEBASTIAN SHAW	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.1363803013948186e-13	3.842917408534807e-06
ROSS, EVERETT KENNETH	W'KABI	1.141982652467801e-13	3.843393193777909e-06
BOUDREAUX, BELLA DONNA	LEBEAU, JEAN-LUC	1.14572266249581e-13	3.8438689790210115e-06
HOGAN, VIRGINIA PEPPER POTTS	STARK, MORGAN	1.1583456990231988e-13	3.8443447642641124e-06
LYNNE, MONICA	MALICE V/NAKIA	1.1591964162513635e-13	3.844820549507215e-06
PIP/PRINCE GOFERN	SILVER SURFER/NORRIN RADD	1.1654727306953825e-13	3.845296334750317e-06
BLOODSTRIKE/ERIC CONROY	NIGHT THRASHER/DUANE TAYLOR	1.1720051180946829e-13	3.845772119993419e-06
NIGHT THRASHER/DUANE TAYLOR	SMILING TIGER/	1.1720051180946829e-13	3.846247905236521e-06
LANDERS, RAY	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	1.1787323283575797e-13	3.846723690479623e-06
LANDERS, RICKY	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	1.1787323283575797e-13	3.847199475722725e-06
AUTHIER, POLICE CHIEF	JUBILEE/JUBILATION LEE 	1.1787323283575797e-13	3.847675260965827e-06
JUSTICE II/VANCE ASTROVIK 	LEFT HAND/DIEGO CASSEAS	1.1850958486271398e-13	3.848151046208929e-06
FIREWALL/THEARY/MIN LI NG	JUSTICE II/VANCE ASTROVIK 	1.1850958486271398e-13	3.848626831452031e-06
CHARCOAL/CHARLIE BURLINGAME/CHARLES COLE	CRIMSON COWL II/	1.1860482094415065e-13	3.849102616695133e-06
HOGAN, VIRGINIA PEPPER POTTS	IRON MAN IV/JAMES R. JIM RHODEY RHODES	1.1909310282061432e-13	3.849578401938235e-06
CHURCHILL, LORD	LUNA/LUNA MAXIMOFF [INHUMAN]	1.2001814793358378e-13	3.850054187181337e-06
KAINE	TRAINER, DR. SEWARD	1.2009674471031196e-13	3.8505299724244394e-06
ELLIS, KEN	KAINE	1.2009674471031196e-13	3.85100575766754e-06
COACHWHIP	COPPERHEAD III/DAVIS LAWFERS	1.2093177465864654e-13	3.851481542910643e-06
CAPRICORN/WILLARD WEIR	SCORPIO/JAKE FURY	1.2093177465864654e-13	3.851957328153745e-06
LOCKHEED	SATURNYNE, OPAL LUNA	1.215143777107462e-13	3.852433113396847e-06
SPIDER-WOMAN IV/CHARLOTTE WINTER	SPIDER-WOMAN/JESSICA DREW	1.215143777107462e-13	3.852908898639949e-06
JARVIS, EDWIN 	JUSTICE II/VANCE ASTROVIK 	1.2178949137750852e-13	3.85338468388305e-06
IKTHON	VASHTI	1.2183622725683104e-13	3.853860469126153e-06
BLACK PANTHER/T'CHALLA	TAKU	1.2222062562466236e-13	3.854336254369255e-06
CAPTAIN AMERICA	JONES, RICHARD MILHOUSE RICK	1.2277240882310435e-13	3.854812039612357e-06
FORGOTTEN ONE/GILGAMESH [ETERNAL]	PHASTOS [ETERNAL]	1.2282372315600202e-13	3.855287824855459e-06
LEI KUNG, THE THUNDERER	MASTER KHAN/TYRONE KING	1.2290074213177685e-13	3.855763610098561e-06
SUNFIRE/SHIRO YOSHIDA	WOLVERINE/LOGAN 	1.2296806919799194e-13	3.856239395341663e-06
MEGGAN	SZARDOS, MARGALI	1.2390385184235083e-13	3.856715180584765e-06
IKARIS/IKE HARRIS [ETERNAL]	VALKIN	1.2399673519001712e-13	3.857190965827867e-06
BLACK MAMBA/TANYA SEALY	ICE PRINCESS/	1.249341677440726e-13	3.857666751070968e-06
ANGLER	BALLANTINE, KAYLA	1.249341677440726e-13	3.858142536314071e-06
JEROME, JASON	PUMA/THOMAS FIREHEART	1.249341677440726e-13	3.858618321557173e-06
PUMA/THOMAS FIREHEART	TAYLOR, JENNA	1.249341677440726e-13	3.859094106800275e-06
BLACK MAMBA/TANYA SEALY	WRANGLER/	1.249341677440726e-13	3.859569892043377e-06
BLACK MAMBA/TANYA SEALY	MYSTERIA/	1.249341677440726e-13	3.860045677286478e-06
BLACK MAMBA/TANYA SEALY	IRON MAIDEN/	1.249341677440726e-13	3.860521462529581e-06
AYALA, MRS.	WHITE TIGER/HECTOR AYALA	1.249341677440726e-13	3.860997247772683e-06
AQUARIUS/DARREN BENTLEY	GEMINI/JOSHUA LINK	1.2507056125784873e-13	3.8614730330157846e-06
MR. NACHT	SCRIER II/	1.2507056125784873e-13	3.861948818258887e-06
ARIES II/GROVER RAYMOND	TAURUS/CORNELIUS VAN LUNT	1.2507056125784873e-13	3.862424603501989e-06
CABE, BETHANY	ZIMMER, ABE	1.2510712155395397e-13	3.862900388745091e-06
JAMESON, J. JONAH	OSBORN, NORMIE	1.2689092231004968e-13	3.863376173988193e-06
RICHARDS, NATHANIEL	SUB-MARINER/NAMOR MACKENZIE	1.2752732360730549e-13	3.863851959231295e-06
FIREFIST/RUSTY COLLINS	PYRO/ALLERDYCE JOHNNY ST. JOHN	1.283837382236317e-13	3.864327744474396e-06
HUMAN TORCH/JOHNNY STORM 	SANDMAN/WILLIAM BAKER/SYLVESTER MANN/FLINT MARKO	1.288676999175272e-13	3.864803529717499e-06
MOLE MAN/HARVEY RUPERT ELDER	MR. FANTASTIC/REED RICHARDS 	1.289635984938639e-13	3.865279314960601e-06
GEE/ALEX POWER	NOVA/RICHARD RIDER	1.2919735656972884e-13	3.865755100203703e-06
JAMESON, COL. JOHN 	MR. NACHT	1.2937267170558164e-13	3.866230885446805e-06
RAZA LONGKNIFE	SHADOWCAT/KATHERINE KITTY PRYDE 	1.2953172674835507e-13	3.866706670689906e-06
CH'OD	SHADOWCAT/KATHERINE KITTY PRYDE 	1.2953172674835507e-13	3.867182455933009e-06
CITIZEN V II/HELMUT ZEMO	DYNA-MITE/ROGER AUBREY	1.2982431592602936e-13	3.867658241176111e-06
BLACK PANTHER/T'CHALLA	PSI-LORD/FRANKLIN BENJAMIN RICHARDS	1.2990966173172007e-13	3.8681340264192125e-06
STRUCKER, ANDREAS	VON STRUCKER, WERNER	1.3061892764488326e-13	3.868609811662314e-06
STRUCKER, ANDREAS	WORD II/	1.3061892764488326e-13	3.869085596905417e-06
JADE DRAGON/DEI GUAN	SASQUATCH/WALTER LANGKOWSKI	1.3114841608449123e-13	3.869561382148519e-06
BEAST/HENRY &HANK& P. MCCOY 	BINARY/CAROL DANVERS	1.3140351268890577e-13	3.870037167391621e-06
FALCON/SAM WILSON	ROSENTHAL, BERNIE	1.3360278477105326e-13	3.870512952634723e-06
HAMMERHEAD	KATZENBERG, NICK	1.3429442461349315e-13	3.870988737877824e-06
BLAQUESMITH	BRIDGE, GEORGE WASHINGTON G.W.	1.3472927038027308e-13	3.871464523120927e-06
MARVEL GIRL/JEAN GREY SUMMERS	SAURON/DR. KARL LYKOS	1.3492307997286129e-13	3.871940308364029e-06
CONTEMPLATOR/TATH KI [ELDER]	SUPREME INTELLIGENCE	1.3514784451455675e-13	3.8724160936071306e-06
CRIMSON DYNAMO V/DIMITRI BUKHARIN	U-MAN/MERRANO	1.3516244012046637e-13	3.872891878850233e-06
STUART, BRIG. ALYSANDE	THOMAS, COMMANDER DAI	1.3516244012046637e-13	3.873367664093334e-06
JAMESON, J. JONAH	WATSON, KRISTY	1.3584567062651677e-13	3.873843449336437e-06
CRYSTAL [INHUMAN]	UATU	1.3636834772024743e-13	3.874319234579539e-06
PSYLOCKE/ELISABETH BETSY BRADDOCK 	SABRETOOTH/VICTOR CREED	1.3679578621295738e-13	3.8747950198226405e-06
SERSI/SYLVIA	TYRAK	1.3788928427473e-13	3.875270805065742e-06
BLACK KING/SEBASTIAN SHAW	MAGIK/ILLYANA RASPUTINA	1.3792119768903114e-13	3.875746590308845e-06
BLACK PANTHER/T'CHALLA	KLAW/ULYSSES KLAW	1.3840721762403838e-13	3.876222375551947e-06
BLACK GOLIATH/DR. WILLIAM BILL BARRETT FOSTER	DR. NEMESIS/DR. STOCKTON	1.3885787359297854e-13	3.876698160795049e-06
STACY, GWEN (CLONE)	WATSON-PARKER, MARY JANE	1.4063130072767947e-13	3.87717394603815e-06
GATEWAY	REESE, MURRAY	1.4077983292765086e-13	3.877649731281252e-06
ROSENTHAL, BERNIE	RUNCITER, GAIL	1.4078309193822167e-13	3.878125516524355e-06
EMPRESS S'BYLL [SKRULL]	SILVER SURFER/NORRIN RADD	1.4160426760487498e-13	3.878601301767457e-06
SCUZZ	WEREWOLF BY NIGHT/JACK RUSSELL	1.4254008450235642e-13	3.8790770870105585e-06
RAZORBLADE II/	WEREWOLF BY NIGHT/JACK RUSSELL	1.4254008450235642e-13	3.879552872253661e-06
LAYLA	WEREWOLF BY NIGHT/JACK RUSSELL	1.4254008450235642e-13	3.880028657496762e-06
HITLER, ADOLF	SUB-MARINER/NAMOR MACKENZIE	1.4289605375571658e-13	3.880504442739865e-06
HERCULES [GREEK GOD]	KRISTA	1.4354542792216686e-13	3.880980227982967e-06
LUBENSKI, NATE	ROBERTSON, JOE	1.4372158797482086e-13	3.8814560132260685e-06
TANA NILE	VOLSTAGG	1.4419404839207255e-13	3.88193179846917e-06
BEETLE/ABNER RONALD JENKINS	SHOCKER/HERMAN SCHULTZ	1.4419865763053404e-13	3.882407583712273e-06
BEDLAM/JESSE AARONSON 	DEVILLE, ARCADIA	1.4445513145408393e-13	3.882883368955375e-06
BEDLAM/JESSE AARONSON 	INDIGO, ODYSSEUS	1.4445513145408393e-13	3.8833591541984766e-06
BEDLAM/JESSE AARONSON 	ROMAN, DR. NILES	1.4445513145408393e-13	3.883834939441578e-06
CLOAK/TYRONE JOHNSON	COUNTERWEIGHT II/KATIE POWER	1.452295821817917e-13	3.88431072468468e-06
NORRISS, SISTER BARBARA DENTON	SILVER SURFER/NORRIN RADD	1.4570800497307573e-13	3.884786509927783e-06
MROTH	VIZIER	1.459329272603266e-13	3.885262295170885e-06
GYRICH, HENRY PETER	HEYWERTH, GENERAL	1.459329272603266e-13	3.8857380804139865e-06
PYLLAR	VIZIER	1.459329272603266e-13	3.886213865657089e-06
GUARDIAN/JAMES MACDONALD HUDSON	RADIUS/JARED CORBO	1.464342618514114e-13	3.88668965090019e-06
BANNON, LANCE	URICH, BEN	1.4677892852868438e-13	3.887165436143293e-06
APOCALYPSE/EN SABAH NUR	STORM/ORORO MUNROE Subscribe!	1.4681869153150857e-13	3.887641221386395e-06
KELLY, SEN. ROBERT EDWARD	PSYLOCKE/ELISABETH BETSY BRADDOCK 	1.468978903187277e-13	3.888117006629496e-06
MARVEL GIRL/JEAN GREY SUMMERS	MASTERMIND/JASON WYNGARDE	1.4717997280043456e-13	3.888592791872598e-06
MACTAGGERT, MOIRA KINROSS	STRONG GUY/GUIDO CAROSELLA	1.4800353448338282e-13	3.8890685771157e-06
GRUNCH, ALESTAIRE FINCHLEY	WILSON, MERCEDES	1.4998085166290712e-13	3.889544362358803e-06
LEBEAU, MERCY	TANTE MATTIE	1.4998085166290712e-13	3.8900201476019045e-06
MYSTERIA/	WHITEOUT	1.4998085166290712e-13	3.890495932845006e-06
DARK COUNSEL/VARTU	VORZEN	1.4998085166290712e-13	3.890971718088108e-06
WHITEOUT	WRANGLER/	1.4998085166290712e-13	3.891447503331211e-06
BRUKNER, ILANEY	GRUNCH, ALESTAIRE FINCHLEY	1.4998085166290712e-13	3.891923288574313e-06
KLEINFELDT, LORNA	QUENTINO	1.4998085166290712e-13	3.8923990738174144e-06
LAPIN, EMIL	TANTE MATTIE	1.4998085166290712e-13	3.892874859060517e-06
KORATH THE PURSUER	SUPREMOR	1.4998085166290712e-13	3.893350644303618e-06
CACHES, PROF. MARINA	WILKS, SHANTAL	1.4998085166290712e-13	3.893826429546721e-06
DARK COUNSEL/VARTU	UNIT 101101	1.4998085166290712e-13	3.8943022147898226e-06
ICE PRINCESS/	WHITEOUT	1.4998085166290712e-13	3.894778000032924e-06
IRON MAIDEN/	WHITEOUT	1.4998085166290712e-13	3.895253785276026e-06
UNI-LORD	UNIT 101101	1.4998085166290712e-13	3.895729570519128e-06
UNI-LORD	VORZEN	1.4998085166290712e-13	3.896205355762231e-06
GORGILLA	ZAWADI	1.4998085166290712e-13	3.8966811410053325e-06
ANAK	SIF	1.502544969343639e-13	3.897156926248434e-06
PROFESSOR X/CHARLES FRANCIS XAVIER 	UNUS THE UNTOUCHABLE	1.5137419171670116e-13	3.897632711491536e-06
SSSESTHUGAR	WING, COLLEEN	1.519383318321821e-13	3.898108496734639e-06
BEETLE/ABNER RONALD JENKINS	WARTON/WARBECK	1.519383318321821e-13	3.898584281977741e-06
BOOMERANG/FRED MYERS	RHINO	1.5205579962830104e-13	3.899060067220842e-06
CALIBAN/	TARBABY	1.5348222473900416e-13	3.899535852463945e-06
CHIMERA II	SYNCH/EVERETT THOMAS	1.5348222473900416e-13	3.900011637707046e-06
SHADOWCAT/KATHERINE KITTY PRYDE 	SZARDOS, MARGALI	1.536881062839561e-13	3.900487422950149e-06
PYRO/ALLERDYCE JOHNNY ST. JOHN	SKIDS/SALLY BLEVINS	1.5455107729299062e-13	3.90096320819325e-06
COLOSSUS II/PETER RASPUTIN 	SUNFIRE/SHIRO YOSHIDA	1.5467759727306793e-13	3.901438993436352e-06
SURTUR	YMIR	1.5492916217790678e-13	3.901914778679454e-06
SHAMAN/MICHAEL TWOYOUNGMAN	SILVER	1.5561397781566545e-13	3.902390563922556e-06
JUGGERNAUT/CAIN MARKO	MARVEL GIRL/JEAN GREY SUMMERS	1.5639574501691267e-13	3.902866349165659e-06
CAMPBELL, DR. RORY	DAYTRIPPER/AMANDA SEFTON	1.5665088535790547e-13	3.9033421344087604e-06
CAPTAIN AMERICA	JUSTICE II/VANCE ASTROVIK 	1.5682300571331634e-13	3.903817919651862e-06
ANGEL/WARREN KENNETH WORTHINGTON III 	MAGUS	1.5744454105045066e-13	3.904293704894964e-06
COLLINS, DEMITRIUS	MAJESTON ZELIA	1.5860783230098916e-13	3.904769490138067e-06
COLLINS, DEMITRIUS	FAIRMONT, AMANDA MANDY	1.5860783230098916e-13	3.9052452753811686e-06
ORACLE/LADY SIBYL	SMASHER IV	1.5860783230098916e-13	3.90572106062427e-06
COLLINS, DEMITRIUS	MAGNIR	1.5860783230098916e-13	3.906196845867372e-06
MASTER MENACE/DR. EMIL BURBANK	NIGHTHAWK/KYLE RICHMOND	1.5860783230098916e-13	3.906672631110474e-06
ADVA	COLLINS, DEMITRIUS	1.5860783230098916e-13	3.907148416353577e-06
BRONA	COLLINS, DEMITRIUS	1.5860783230098916e-13	3.907624201596678e-06
AUTHIER, TRACY TRACE	EMPLATE/MARIUS ST. CROIX	1.5860783230098916e-13	3.90809998683978e-06
MASTER MENACE/DR. EMIL BURBANK	TOM THUMB/THOMAS THOMPSON	1.5860783230098916e-13	3.908575772082882e-06
HUSSAR	ORACLE/LADY SIBYL	1.5860783230098916e-13	3.909051557325984e-06
ALVAREZ, FELIX	PEARSON, MARCY	1.5975590869201322e-13	3.909527342569087e-06
EXODUS/BENNET DUPARIS	WHITE TIGER II/	1.5975590869201322e-13	3.910003127812188e-06
HAWK	MANTIS/? BRANDT	1.5979678112576324e-13	3.91047891305529e-06
DR. OCTOPUS/OTTO OCTAVIUS	HOBGOBLIN V/JASON PHILIP MACENDALE	1.5998392736145526e-13	3.910954698298392e-06
BINARY/CAROL DANVERS	FALCON/SAM WILSON	1.6062039717999993e-13	3.911430483541495e-06
FERON	SHADOWCAT/KATHERINE KITTY PRYDE 	1.6091383109039295e-13	3.911906268784596e-06
MASTER MAN/WILHELM LOHMER GSINV 1	TORO/TOM RAYMOND	1.6169502904313276e-13	3.912382054027698e-06
HUMAN TORCH/JOHNNY STORM 	MARVEL GIRL II/VALERIA VON DOOM	1.6246707358761116e-13	3.9128578392708e-06
HERMOD [ASGARDIAN]	SETH II	1.637589355715088e-13	3.913333624513902e-06
MASTER KHAN/TYRONE KING	SCARFE, RAFAEL	1.6506562861527703e-13	3.913809409757005e-06
THANOS DOPPELGANGER	WONDER MAN/SIMON WILLIAMS 	1.659120607250236e-13	3.914285195000106e-06
ICE PRINCESS/	PALADIN/PAUL DENNIS	1.663422725834906e-13	3.914760980243208e-06
LOHAN, PETER	PIERCE, ALEXANDER GOODWIN	1.663422725834906e-13	3.91523676548631e-06
N'GAMI	PIERCE, ALEXANDER GOODWIN	1.663422725834906e-13	3.915712550729412e-06
MYSTERIA/	PALADIN/PAUL DENNIS	1.663422725834906e-13	3.9161883359725145e-06
GUILOTINE	PIERCE, ALEXANDER GOODWIN	1.663422725834906e-13	3.916664121215616e-06
PALADIN/PAUL DENNIS	WRANGLER/	1.663422725834906e-13	3.917139906458718e-06
IRON MAIDEN/	PALADIN/PAUL DENNIS	1.663422725834906e-13	3.91761569170182e-06
FATALE/PAMELA GREENWOOD	RANDOM II/MARSHALL EVAN STONE III	1.6670700805185622e-13	3.918091476944923e-06
SAUNDERS, KRISTINE	STROUD, SIMON	1.6670700805185622e-13	3.918567262188024e-06
JONES, CHARLOTTE	MARVEL GIRL/JEAN GREY SUMMERS	1.6774563009748128e-13	3.919043047431126e-06
LOKI [ASGARDIAN]	SURTUR	1.6777494425831516e-13	3.919518832674228e-06
BANNER, BETTY ROSS TALBOT	OMNIBUS/LT. DALLAS	1.6965016284260598e-13	3.91999461791733e-06
COLOSSUS II/PETER RASPUTIN 	SUNSPOT/ROBERTO DACOSTA 	1.698262211824502e-13	3.920470403160433e-06
DRAX/ARTHUR DOUGLAS	NOVA/RICHARD RIDER	1.7066633706819312e-13	3.9209461884035335e-06
COLOSSUS II/PETER RASPUTIN 	MAGUS	1.7146416283129766e-13	3.921421973646636e-06
AJAK/TECUMOTZIN [ETERNAL]	DAMIAN, MARGO	1.7193359265462345e-13	3.921897758889738e-06
GUDRUN [ASGARDIAN]	VIZIER	1.7228911821363142e-13	3.92237354413284e-06
